id,country_id,position,created_at,full_name,ht_player_id,team_type,status,notes,last_seen_at,dob,ht_age_years,ht_age_days,training_type,trainer_level,assistants,intensity,stamina_share,ideal_training_score,actual_training_score,nationality,specialty,injury,transfer_listed,age_years,age_days,tsi,experience,leadership,form,stamina,keeper,defending,playmaking,wing,passing,scoring,set_pieces,caps_nt,caps_u21,is_international,category,source,imported_at
4,,DEF,2026-01-11 12:36:19.449754,Karlo Gorup,123456,U21,watch,proba,,2005-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,191,IM,2026-01-11 14:41:33.33203,Bruno Novosel,777888,NT,watch,proba,,2000-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,191,FWD,2026-01-11 17:38:18.005814,Marko Žigić,,U21,watch,,,,21,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,191,W,2026-01-11 17:39:09.634752,Šime Kalpić,,U21,watch,,,,21,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,191,DEF,2026-01-11 17:42:23.069703,Marko Marić,,U21,watch,,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,FWD,2026-01-13 22:12:38.337113,Marko Žigić,,U21,watch,test igrač 1,,2005-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,IM,2026-01-13 22:12:38.337113,Ivan Horvat,,U21,core,test igrač 2,,2005-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,DEF,2026-01-13 22:12:38.337113,Ante Antić,,U21,rotation,test igrač 3,,2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,IM,2026-01-13 22:12:38.337113,Luka Modrić (test),,NT,watch,test NT,,2000-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,W,2026-01-13 22:27:10.048419,Alan Andrović,453285255,NT,watch,import iz portal tracker CSV-a,,,,,,,,,,,,Hrvatska,Brz,,,35,20,47110,18,6,6,7,1,9,14,17,11,2,16,20,0,true,Krilo,csv_portal_tracker,2026-01-13 22:27:10.048419+00
14,,GK,2026-01-13 22:45:37.810451,Hrvoje Svjetlanović,462660957,NT,watch,import iz portal tracker CSV-a,,,,,,,,,,,,Hrvatska,,,,31,15,145450,10,3,8,7,20,15,1,2,2,1,20,7,0,true,Vratar,csv_portal_tracker,2026-01-13 22:45:37.810451+00
15,,W,2026-01-13 22:45:37.810451,Hrvoje Zidarević,455838236,NT,watch,import iz portal tracker CSV-a,,,,,,,,,,,,Hrvatska,Brz,,,34,36,60460,15,4,6,7,1,13,16,15,7,9,1,0,13,true,Krilo,csv_portal_tracker,2026-01-13 22:45:37.810451+00
16,,FWD,2026-01-13 22:45:37.810451,Igor Ivanov,466208013,NT,watch,import iz portal tracker CSV-a,,,,,,,,,,,,Hrvatska,Brz,,,29,60,256320,8,5,7,6,1,4,3,12,12,17,2,0,0,true,Napadač,csv_portal_tracker,2026-01-13 22:45:37.810451+00
